NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-09 03:28:16

BUY SIGNALS (1012):
  RELIANCE.NS     | Price: 1334.80 | Entry:  1308.1 | Target: 1449.23 | Risk: LOW       
  NATIONALUM.NS   | Price:  381.00 | Entry:  373.38 | Target:  427.14 | Risk: LOW       
  JUBLFOOD.NS     | Price:  486.50 | Entry:  476.77 | Target:  553.32 | Risk: LOW       
  ESCORTS.NS      | Price: 3080.00 | Entry:  3018.4 | Target: 3386.11 | Risk: LOW       
  RADICO.NS       | Price: 4499.00 | Entry: 4409.02 | Target: 5111.74 | Risk: LOW       
  KAYNES.NS       | Price: 3856.30 | Entry: 3779.17 | Target: 4522.26 | Risk: LOW       
  ENDURANCE.NS    | Price: 2904.50 | Entry: 2846.41 | Target: 3342.47 | Risk: LOW       
  KEI.NS          | Price: 5600.00 | Entry:  5488.0 | Target: 6320.93 | Risk: LOW       
  PWL.NS          | Price:  131.59 | Entry:  128.96 | Target:  157.31 | Risk: LOW       
  TATAINVEST.NS   | Price:  693.65 | Entry:  679.78 | Target:  780.79 | Risk: LOW       
  POONAWALLA.NS   | Price:  480.05 | Entry:  470.45 | Target:  555.98 | Risk: LOW       
  CRISIL.NS       | Price: 4607.00 | Entry: 4514.86 | Target: 5309.62 | Risk: LOW       
  CHOLAHLDNG.NS   | Price: 1628.00 | Entry: 1595.44 | Target: 1853.16 | Risk: LOW       
  3MINDIA.NS      | Price: 36035.00 | Entry: 35314.3 | Target: 40352.86 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2109.70 | Entry: 2067.51 | Target: 2444.34 | Risk: LOW       
  APARINDS.NS     | Price: 16631.00 | Entry: 16298.38 | Target: 20047.43 | Risk: LOW       
  MEDANTA.NS      | Price: 1455.60 | Entry: 1426.49 | Target: 1687.10 | Risk: LOW       
  ACC.NS          | Price: 1362.80 | Entry: 1335.54 | Target: 1521.55 | Risk: LOW       
  AWL.NS          | Price:  197.50 | Entry:  193.55 | Target:  224.20 | Risk: LOW       
  ASTERDM.NS      | Price:  869.70 | Entry:  852.31 | Target: 1006.56 | Risk: LOW       
  EXIDEIND.NS     | Price:  490.00 | Entry:   480.2 | Target:  583.50 | Risk: LOW       
  HONAUT.NS       | Price: 37900.00 | Entry: 37142.0 | Target: 42944.64 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3489.20 | Entry: 3419.42 | Target: 3999.10 | Risk: LOW       
  AIAENG.NS       | Price: 4776.00 | Entry: 4680.48 | Target: 5446.71 | Risk: LOW       
  COHANCE.NS      | Price:  445.75 | Entry:  436.83 | Target:  519.32 | Risk: LOW       
  GLAND.NS        | Price: 2601.00 | Entry: 2548.98 | Target: 2977.89 | Risk: LOW       
  APOLLOTYRE.NS   | Price:  445.00 | Entry:   436.1 | Target:  492.27 | Risk: LOW       
  NIACL.NS        | Price:  177.11 | Entry:  173.57 | Target:  207.67 | Risk: LOW       
  HINDCOPPER.NS   | Price:  536.10 | Entry:  525.38 | Target:  617.58 | Risk: LOW       
  MSUMI.NS        | Price:   41.16 | Entry:   40.34 | Target:   47.34 | Risk: LOW       
  SONACOMS.NS     | Price:  818.05 | Entry:  801.69 | Target:  946.37 | Risk: LOW       
  KIMS.NS         | Price:  811.10 | Entry:  794.88 | Target:  913.58 | Risk: LOW       
  TATATECH.NS     | Price:  872.80 | Entry:  855.34 | Target: 1017.69 | Risk: LOW       
  PINELABS.NS     | Price:  154.44 | Entry:  151.35 | Target:  190.76 | Risk: LOW       
  TVSHLTD.NS      | Price: 14848.00 | Entry: 14551.04 | Target: 16981.93 | Risk: LOW       
  SUMICHEM.NS     | Price:  532.95 | Entry:  522.29 | Target:  629.75 | Risk: LOW       
  AFFLE.NS        | Price: 1645.60 | Entry: 1612.69 | Target: 1966.49 | Risk: LOW       
  AEGISLOG.NS     | Price: 1371.00 | Entry: 1343.58 | Target: 1756.04 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 8271.00 | Entry: 8105.58 | Target: 9683.32 | Risk: LOW       
  EMCURE.NS       | Price: 1978.40 | Entry: 1938.83 | Target: 2266.01 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1931.60 | Entry: 1892.97 | Target: 2263.97 | Risk: LOW       
  PPLPHARMA.NS    | Price:  209.55 | Entry:  205.36 | Target:  250.92 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 2637.20 | Entry: 2584.46 | Target: 3054.81 | Risk: LOW       
  RAMCOCEM.NS     | Price:  933.80 | Entry:  915.12 | Target: 1044.55 | Risk: LOW       
  FSL.NS          | Price:  279.85 | Entry:  274.25 | Target:  369.24 | Risk: LOW       
  EMAMILTD.NS     | Price:  412.55 | Entry:   404.3 | Target:  472.80 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1796.50 | Entry: 1760.57 | Target: 2063.92 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2021.00 | Entry: 1980.58 | Target: 2307.93 | Risk: LOW       
  PTCIL.NS        | Price: 19076.00 | Entry: 18694.48 | Target: 21372.79 | Risk: LOW       
  PFIZER.NS       | Price: 4880.60 | Entry: 4782.99 | Target: 5387.46 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2101.50 | Entry: 2059.47 | Target: 2323.57 | Risk: LOW       
  KIOCL.NS        | Price:  391.75 | Entry:  383.92 | Target:  469.79 | Risk: LOW       
  MANAPPURAM.NS   | Price:  366.75 | Entry:  359.42 | Target:  423.43 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1143.00 | Entry: 1120.14 | Target: 1327.66 | Risk: LOW       
  BRIGADE.NS      | Price:  581.95 | Entry:  570.31 | Target:  661.62 | Risk: LOW       
  FORCEMOT.NS     | Price: 18500.00 | Entry: 18130.0 | Target: 21235.71 | Risk: LOW       
  WELCORP.NS      | Price: 1839.80 | Entry:  1803.0 | Target: 2101.87 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  898.70 | Entry:  880.73 | Target: 1009.11 | Risk: LOW       
  SAGILITY.NS     | Price:   43.67 | Entry:    42.8 | Target:   52.10 | Risk: LOW       
  AADHARHFC.NS    | Price:  506.40 | Entry:  496.27 | Target:  574.51 | Risk: LOW       
  IIFL.NS         | Price:  611.75 | Entry:  599.51 | Target:  709.05 | Risk: LOW       
  REDINGTON.NS    | Price:  354.85 | Entry:  347.75 | Target:  440.33 | Risk: LOW       
  HATSUN.NS       | Price:  941.10 | Entry:  922.28 | Target: 1068.30 | Risk: LOW       
  URBANCO.NS      | Price:  143.74 | Entry:  140.87 | Target:  171.42 | Risk: LOW       
  JSWHL.NS        | Price: 12025.00 | Entry: 11784.5 | Target: 13908.93 | Risk: LOW       
  ATHERENERG.NS   | Price: 1481.50 | Entry: 1451.87 | Target: 1798.61 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1090.55 | Entry: 1068.74 | Target: 1225.26 | Risk: LOW       
  CHALET.NS       | Price:  859.70 | Entry:  842.51 | Target:  988.08 | Risk: LOW       
  ANANTRAJ.NS     | Price:  615.90 | Entry:  603.58 | Target:  711.18 | Risk: LOW       
  CASTROLIND.NS   | Price:  192.08 | Entry:  188.24 | Target:  204.84 | Risk: LOW       
  POLYMED.NS      | Price: 1693.80 | Entry: 1659.92 | Target: 1940.05 | Risk: LOW       
  BASF.NS         | Price: 4091.00 | Entry: 4009.18 | Target: 4794.95 | Risk: LOW       
  KANSAINER.NS    | Price:  212.35 | Entry:   208.1 | Target:  247.61 | Risk: LOW       
  DEVYANI.NS      | Price:  134.73 | Entry:  132.04 | Target:  162.98 | Risk: LOW       
  NEULANDLAB.NS   | Price: 22855.00 | Entry: 22397.9 | Target: 27097.41 | Risk: LOW       
  EIDPARRY.NS     | Price:  805.10 | Entry:   789.0 | Target:  903.65 | Risk: LOW       
  CAMS.NS         | Price:  787.50 | Entry:  771.75 | Target:  893.38 | Risk: LOW       
  KFINTECH.NS     | Price:  936.00 | Entry:  917.28 | Target: 1073.23 | Risk: LOW       
  ATUL.NS         | Price: 6774.00 | Entry: 6638.52 | Target: 7858.64 | Risk: LOW       
  APLLTD.NS       | Price:  830.10 | Entry:   813.5 | Target:  934.75 | Risk: LOW       
  JSWCEMENT.NS    | Price:  134.29 | Entry:   131.6 | Target:  150.36 | Risk: LOW       
  SAILIFE.NS      | Price: 1365.20 | Entry:  1337.9 | Target: 1572.84 | Risk: LOW       
  ARE&M.NS        | Price:  931.70 | Entry:  913.07 | Target: 1056.38 | Risk: LOW       
  GRINDWELL.NS    | Price: 2133.80 | Entry: 2091.12 | Target: 2477.05 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13818.00 | Entry: 13541.64 | Target: 16202.29 | Risk: LOW       
  FIVESTAR.NS     | Price:  543.25 | Entry:  532.38 | Target:  635.46 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1097.00 | Entry: 1075.06 | Target: 1275.83 | Risk: LOW       
  RBLBANK.NS      | Price:  389.80 | Entry:   382.0 | Target:  433.85 | Risk: LOW       
  PGEL.NS         | Price:  630.65 | Entry:  618.04 | Target:  744.70 | Risk: LOW       
  BEML.NS         | Price: 1787.80 | Entry: 1752.04 | Target: 2060.12 | Risk: LOW       
  MANYAVAR.NS     | Price:  516.90 | Entry:  506.56 | Target:  633.65 | Risk: LOW       
  NETWEB.NS       | Price: 4939.20 | Entry: 4840.42 | Target: 5936.83 | Risk: LOW       
  TBOTEK.NS       | Price: 1610.90 | Entry: 1578.68 | Target: 1930.29 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1365.00 | Entry:  1337.7 | Target: 1612.73 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1428.60 | Entry: 1400.03 | Target: 1664.06 | Risk: LOW       
  CPPLUS.NS       | Price: 3708.70 | Entry: 3634.53 | Target: 4486.16 | Risk: LOW       
  LMW.NS          | Price: 16629.00 | Entry: 16296.42 | Target: 19111.14 | Risk: LOW       
  GABRIEL.NS      | Price: 1499.80 | Entry:  1469.8 | Target: 1884.23 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10483.00 | Entry: 10273.34 | Target: 12336.39 | Risk: LOW       
  CHOICEIN.NS     | Price:  841.15 | Entry:  824.33 | Target:  913.51 | Risk: LOW       
  VGUARD.NS       | Price:  319.65 | Entry:  313.26 | Target:  385.36 | Risk: LOW       
  SIGNATURE.NS    | Price:  802.30 | Entry:  786.25 | Target:  912.37 | Risk: LOW       
  TECHNOE.NS      | Price: 1066.25 | Entry: 1044.92 | Target: 1213.77 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  813.15 | Entry:  796.89 | Target:  955.17 | Risk: LOW       
  JMFINANCIL.NS   | Price:  127.46 | Entry:  124.91 | Target:  147.98 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2574.10 | Entry: 2522.62 | Target: 2995.60 | Risk: LOW       
  LTFOODS.NS      | Price:  427.55 | Entry:   419.0 | Target:  485.59 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1901.70 | Entry: 1863.67 | Target: 2234.32 | Risk: LOW       
  AGARWALEYE.NS   | Price:  546.25 | Entry:  535.33 | Target:  650.14 | Risk: LOW       
  RRKABEL.NS      | Price: 2759.50 | Entry: 2704.31 | Target: 3306.75 | Risk: LOW       
  PARADEEP.NS     | Price:  149.45 | Entry:  146.46 | Target:  180.79 | Risk: LOW       
  CEATLTD.NS      | Price: 3723.10 | Entry: 3648.64 | Target: 4148.20 | Risk: LOW       
  RAINBOW.NS      | Price: 1556.70 | Entry: 1525.57 | Target: 1780.77 | Risk: LOW       
  SYRMA.NS        | Price: 1424.70 | Entry: 1396.21 | Target: 1714.49 | Risk: LOW       
  FINEORG.NS      | Price: 5162.10 | Entry: 5058.86 | Target: 5902.94 | Risk: LOW       
  BATAINDIA.NS    | Price:  720.50 | Entry:  706.09 | Target:  810.44 | Risk: LOW       
  BLS.NS          | Price:  254.33 | Entry:  249.24 | Target:  291.56 | Risk: LOW       
  AARTIIND.NS     | Price:  502.10 | Entry:  492.06 | Target:  577.01 | Risk: LOW       
  THELEELA.NS     | Price:  518.00 | Entry:  507.64 | Target:  605.93 | Risk: LOW       
  BLUEDART.NS     | Price: 5089.50 | Entry: 4987.71 | Target: 5949.61 | Risk: LOW       
  PCBL.NS         | Price:  321.90 | Entry:  315.46 | Target:  405.79 | Risk: LOW       
  IEX.NS          | Price:  127.10 | Entry:  124.56 | Target:  145.40 | Risk: LOW       
  INDGN.NS        | Price:  554.45 | Entry:  543.36 | Target:  661.93 | Risk: LOW       
  MINDACORP.NS    | Price:  721.65 | Entry:  707.22 | Target:  828.51 | Risk: LOW       
  BELRISE.NS      | Price:  248.21 | Entry:  243.25 | Target:  280.24 | Risk: LOW       
  CELLO.NS        | Price:  373.15 | Entry:  365.69 | Target:  440.86 | Risk: LOW       
  JPPOWER.NS      | Price:   17.94 | Entry:   17.58 | Target:   21.24 | Risk: LOW       
  NEWGEN.NS       | Price:  551.00 | Entry:  539.98 | Target:  676.52 | Risk: LOW       
  GRANULES.NS     | Price:  873.85 | Entry:  856.37 | Target: 1021.84 | Risk: LOW       
  HOMEFIRST.NS    | Price: 1193.80 | Entry: 1169.92 | Target: 1392.23 | Risk: LOW       
  MGL.NS          | Price: 1139.60 | Entry: 1116.81 | Target: 1302.28 | Risk: LOW       
  USHAMART.NS     | Price:  515.05 | Entry:  504.75 | Target:  580.78 | Risk: LOW       
  ACE.NS          | Price: 1094.30 | Entry: 1072.41 | Target: 1326.87 | Risk: LOW       
  EMBDL.NS        | Price:   63.04 | Entry:   61.78 | Target:   71.46 | Risk: LOW       
  JINDALSAW.NS    | Price:  271.40 | Entry:  265.97 | Target:  309.35 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  164.09 | Entry:  160.81 | Target:  190.71 | Risk: LOW       
  RITES.NS        | Price:  234.24 | Entry:  229.56 | Target:  264.05 | Risk: LOW       
  BLUEJET.NS      | Price:  593.90 | Entry:  582.02 | Target:  722.51 | Risk: LOW       
  CARTRADE.NS     | Price: 2793.00 | Entry: 2737.14 | Target: 3485.96 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1275.40 | Entry: 1249.89 | Target: 1601.49 | Risk: LOW       
  TSFINV.NS       | Price:  441.95 | Entry:  433.11 | Target:  527.93 | Risk: LOW       
  SBFC.NS         | Price:   94.25 | Entry:   92.36 | Target:  105.44 | Risk: LOW       
  CANHLIFE.NS     | Price:  152.19 | Entry:  149.15 | Target:  185.48 | Risk: LOW       
  CLEAN.NS        | Price:  795.15 | Entry:  779.25 | Target:  917.49 | Risk: LOW       
  JYOTHYLAB.NS    | Price:  206.47 | Entry:  202.34 | Target:  231.07 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4392.80 | Entry: 4304.94 | Target: 5326.55 | Risk: LOW       
  ALIVUS.NS       | Price: 1329.80 | Entry:  1303.2 | Target: 1589.69 | Risk: LOW       
  ENGINERSIN.NS   | Price:  240.60 | Entry:  235.79 | Target:  270.61 | Risk: LOW       
  OLECTRA.NS      | Price: 1385.00 | Entry:  1357.3 | Target: 1546.21 | Risk: LOW       
  JUBLINGREA.NS   | Price:  740.25 | Entry:  725.44 | Target:  880.49 | Risk: LOW       
  RELAXO.NS       | Price:  423.45 | Entry:  414.98 | Target:  499.63 | Risk: LOW       
  PRUDENT.NS      | Price: 3371.80 | Entry: 3304.36 | Target: 4099.12 | Risk: LOW       
  BSOFT.NS        | Price:  318.50 | Entry:  312.13 | Target:  377.36 | Risk: LOW       
  GRAPHITE.NS     | Price:  709.95 | Entry:  695.75 | Target:  848.72 | Risk: LOW       
  BLACKBUCK.NS    | Price:  577.65 | Entry:   566.1 | Target:  682.31 | Risk: LOW       
  HFCL.NS         | Price:  207.98 | Entry:  203.82 | Target:  263.94 | Risk: LOW       
